text,source,part,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Irony_M,norm_Happiness_M,norm_Sadness_M,norm_Anger_M,norm_Disgust_M,norm_Fear_M,norm_Pride_M,norm_Valence_M,norm_Arousal_M,is_single_sentence
Gra Scholza w obecności Tuska w dobrego i złego ubeka.,,0,1.0,1.6,4.0,4.0,1.6,1.0,1.2,3.0,0.0,0.0,0.15,0.75,0.75,0.15,0.0,0.0499999999999999,0.5,True
"ednak oczekuje się, że globalne wykorzystanie pszenicy wzrośnie o 2,0 procent w stosunku do poziomu z sezonu 2020/2021 w związku z wykorzystaniem na cele żywnościowe i paszowe.",twitter,0,1.4,1.4,1.2,1.0,1.2,1.2,2.6,2.4,0.0,0.0999999999999999,0.0999999999999999,0.0499999999999999,0.0,0.0499999999999999,0.0499999999999999,0.4,0.35,True
PIH: W sklepach nie zabraknie żywności i środków higienicznych,twitter,0,1.8,1.0,1.2,1.0,1.2,2.4,3.2,2.2,0.0,0.2,0.0,0.0499999999999999,0.0,0.0499999999999999,0.35,0.55,0.3,True
Już we wtorek Ziemia Święta.,,0,2.6,1.0,1.0,1.0,1.0,2.0,3.6,2.4,0.0,0.4,0.0,0.0,0.0,0.0,0.25,0.65,0.35,True
użytkownicy Pycha:) odnośnik ,twitter,0,4.2,1.0,1.0,1.0,1.0,1.8,4.6,2.8,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.8999999999999999,0.4499999999999999,True
"To nie jest żart, to nie jest też „wypadek przy pracy”.",,0,1.0,2.0,2.8,1.6,2.0,1.0,1.4,2.0,2.0,0.0,0.25,0.4499999999999999,0.15,0.25,0.0,0.0999999999999999,0.25,True
Ojciec rodziny doświadczył mobbingu w pracy oraz miał wypadek.,,0,1.0,2.8,2.6,1.6,1.8,1.0,2.0,2.0,0.0,0.0,0.4499999999999999,0.4,0.15,0.2,0.0,0.25,0.25,True
"A co trzeba zrobić, żeby zostać członkiem tego związku?",,0,1.8,1.2,1.0,1.2,1.2,1.0,2.8,2.0,0.0,0.2,0.0499999999999999,0.0,0.0499999999999999,0.0499999999999999,0.0,0.4499999999999999,0.25,True
"Dobra, szybka i potrzebna decyzja KE! odnośnik ",twitter,0,3.4,1.0,1.0,1.0,1.0,2.6,4.2,3.6,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.8,0.65,True
użytkownicy Już blisko :),twitter,0,4.4,1.0,1.0,1.0,1.4,2.2,4.6,3.0,0.0,0.8500000000000001,0.0,0.0,0.0,0.0999999999999999,0.3,0.8999999999999999,0.5,True
użytkownicy Cieszę się i życzę ciekawej lektury!,twitter,0,4.2,1.0,1.0,1.0,1.0,2.4,4.4,2.2,0.0,0.8,0.0,0.0,0.0,0.0,0.35,0.8500000000000001,0.3,True
W Rzymie ograniczenie ruchu wszystkich samochodów z silnikiem diesla,twitter,0,1.2,1.0,1.0,1.0,1.0,1.6,3.0,1.6,0.0,0.0499999999999999,0.0,0.0,0.0,0.0,0.15,0.5,0.15,True
"Ów rumpuć gotowaliśmy i dzieliliśmy się nim z mieszkańcami, którzy mimo niepogody przybyli tysiącami.",,0,3.0,1.0,1.0,1.0,1.0,3.8,4.2,2.6,0.0,0.5,0.0,0.0,0.0,0.0,0.7,0.8,0.4,True
"Fizycznie jestem dziś w Poznaniu na Cargo Bike Festiwalu, ale równocześnie całym sercem wspieram #ProtestMedykow, który właśnie rusza w Warszawie  Medyczkom i medykom należą się bezpieczne warunki pracy i godne płace.",,0,3.6,1.8,1.8,1.0,1.6,3.8,4.0,3.8,0.0,0.65,0.2,0.2,0.0,0.15,0.7,0.75,0.7,True
użytkownicy Ale podobno wcześniej system chce zgody na udostępnienie pulpitu!,twitter,0,1.2,1.6,2.2,1.0,2.0,1.0,2.2,3.2,0.0,0.0499999999999999,0.15,0.3,0.0,0.25,0.0,0.3,0.55,True
"Jednocześnie prosimy o dalsze wsparcie, które umożliwi nam dalsze działania.",,0,2.2,1.4,1.2,1.0,1.4,2.0,3.4,2.4,0.0,0.3,0.0999999999999999,0.0499999999999999,0.0,0.0999999999999999,0.25,0.6,0.35,True
użytkownicy Koło 40 w dzień.,twitter,0,1.4,1.2,1.2,1.2,1.2,1.4,3.2,1.4,0.0,0.0999999999999999,0.0499999999999999,0.0499999999999999,0.0499999999999999,0.0499999999999999,0.0999999999999999,0.55,0.0999999999999999,True
Nie lepiej robić dissy na siebie ?,youtube,0,1.4,1.2,2.4,1.8,1.2,1.0,2.6,2.2,3.0,0.0999999999999999,0.0499999999999999,0.35,0.2,0.0499999999999999,0.0,0.4,0.3,True
"użytkownicy Powinny, ale i tak na razie nie mogą.",twitter,0,1.0,1.4,2.2,1.6,1.0,1.0,2.0,2.0,0.0,0.0,0.0999999999999999,0.3,0.15,0.0,0.0,0.25,0.25,True
"Prognoza: Więcej niż przed rokiem (o ok. 7% r/r) zapłacimy za napoje bezalkoholowe, co jest efektem wprowadzonego na początku br. podatku cukrowego.",twitter,0,1.0,1.6,2.0,1.0,1.4,1.0,2.8,1.4,0.0,0.0,0.15,0.25,0.0,0.0999999999999999,0.0,0.4499999999999999,0.0999999999999999,True
"Co ważne - jest ono skoncentrowane na idei spółdzielczości, którą wspieramy - i działa to świetnie.",,0,2.8,1.0,1.0,1.0,1.2,3.6,4.6,3.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.0499999999999999,0.65,0.8999999999999999,0.5,True
"O tym, jak je przyjęły amerykańskie media dla #Minela20 prosto z Nowego Jorku relacjonuje Michał Rachoń.",,0,1.4,1.0,1.0,1.0,1.0,1.4,3.4,1.6,0.0,0.0999999999999999,0.0,0.0,0.0,0.0,0.0999999999999999,0.6,0.15,True
"Państwo to przede wszystkim ludzie, którzy mają wystarczająco dużo woli, by walczyć o swój los i swoje granice.",,0,2.2,1.4,1.4,1.4,1.4,3.0,3.4,2.6,0.0,0.3,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.5,0.6,0.4,True
"Nie da się przewidzieć jak długo ich kłamstwa będą miały siłę przebicia - dziś, mimo katastrofalnych finansów naszych i państwa, wierzy im ponad 30% Polek i Polaków!!",,0,1.0,2.8,4.0,2.6,2.8,1.0,1.6,4.2,1.0,0.0,0.4499999999999999,0.75,0.4,0.4499999999999999,0.0,0.15,0.8,True
- Orzeczenie TK w sprawie aborcji eugenicznej stwarza nową sytuację prawną w Polsce.,,0,1.0,2.0,2.4,2.0,2.4,1.0,2.0,2.6,0.0,0.0,0.25,0.35,0.25,0.35,0.0,0.25,0.4,True
Platforma policzyła ilu posłów potrzeba do odrzucenia prezydenckiego veto odnośnik ,twitter,0,1.2,1.2,1.0,1.0,1.2,1.0,3.0,1.2,0.0,0.0499999999999999,0.0499999999999999,0.0,0.0,0.0499999999999999,0.0,0.5,0.0499999999999999,True
"Sąd Najwyższy może uchylić orzeczenie każdego sądu w kraju w sprawie karnej, cywilnej czy gospodarczej, jeżeli to orzeczenie nie będzie po myśli władzy: zarówno to dotyczące obywateli, jak i to dotyczące polityków.",,0,1.2,1.4,1.6,1.0,1.2,1.0,2.6,1.6,0.0,0.0499999999999999,0.0999999999999999,0.15,0.0,0.0499999999999999,0.0,0.4,0.15,True
Społeczna Komisja Kodyfikacyjna przypomina organom władzy ustawodawczej i wykonawczej o konieczności poszanowania konstytucyjnie gwarantowanego prawa do sądu w projektowanych zmianach procedury cywilnej.,,0,1.0,1.2,1.8,1.0,1.0,1.4,2.8,2.6,2.0,0.0,0.0499999999999999,0.2,0.0,0.0,0.0999999999999999,0.4499999999999999,0.4,True
"Jednocześnie państwo polskie udziela Ukrainie wsparcia militarnego, humanitarnego i finansowego na skalę, która jest dostrzegana i doceniana na całym świecie.",,0,3.4,1.2,1.4,1.0,1.2,4.4,4.0,2.8,0.0,0.6,0.0499999999999999,0.0999999999999999,0.0,0.0499999999999999,0.8500000000000001,0.75,0.4499999999999999,True
użytkownicy Teoriom Spiskowym Powiedział bym ci dosadnie ale i tak mi to nie przejdzie więc powiem tylko że bredzisz człowieku ,youtube,0,1.0,1.2,3.8,3.0,1.2,1.8,2.0,3.4,0.0,0.0,0.0499999999999999,0.7,0.5,0.0499999999999999,0.2,0.25,0.6,True
"użytkownicy Nie, lekarza z pogotowia lotniczego.",twitter,0,1.2,1.0,1.8,1.4,1.0,1.0,2.2,2.2,4.0,0.0499999999999999,0.0,0.2,0.0999999999999999,0.0,0.0,0.3,0.3,True
Już za chwilę w TV Republika o marszałku Gtodzkim i jego pozwach,twitter,0,1.0,1.4,1.4,2.0,1.2,1.0,2.6,2.2,0.0,0.0,0.0999999999999999,0.0999999999999999,0.25,0.0499999999999999,0.0,0.4,0.3,True
"Ukraińskie władze wielokrotnie powtarzały, że w kraju nie będą stosowane rosyjskie szczepionki, takie jak Sputnik V, nazywając je „hybrydową bronią Rosji przeciwko Ukrainie”",twitter,0,1.4,1.2,2.4,2.4,1.4,1.6,2.0,2.4,0.0,0.0999999999999999,0.0499999999999999,0.35,0.35,0.0999999999999999,0.15,0.25,0.35,True
użytkownicy ale nie po 18 zł sztuka bo to pobudzi Legię do zdecydowanej wygranej z Lechem w rewanzu,twitter,0,1.6,1.2,1.6,1.8,1.4,1.0,2.4,2.2,3.0,0.15,0.0499999999999999,0.15,0.2,0.0999999999999999,0.0,0.35,0.3,True
Ich przedstawiciele są w naszym ruchu i codziennie analizują sytuację w Instytucie Strategie2050.pl Od jutra walczymy w Sejmie.,,0,2.0,1.4,2.2,1.8,1.6,3.4,3.2,3.2,0.0,0.25,0.0999999999999999,0.3,0.2,0.15,0.6,0.55,0.55,True
"Tak sobie myślę, że Putin byłby ostatnim durniem gdyby wywołał wojnę akurat dnia wskazanego przez wywiad USA",twitter,0,1.4,1.2,2.2,2.6,1.6,1.0,2.2,2.4,0.0,0.0999999999999999,0.0499999999999999,0.3,0.4,0.15,0.0,0.3,0.35,True
"""Dziękuję Wam z całego serca za to, że tyle od Was mam.",,0,4.6,1.0,1.0,1.0,1.0,3.0,4.8,3.2,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.5,0.95,0.55,True
"Przypominamy sobie stare filmy, czytamy książki, których nie było czasu przeczytać od dekady, akurat dziś słuchamy wielkiej muzyki Pendereckiego, choćbyśmy - przyznajmy się do tego przed samymi sobą - nigdy wcześniej nie mieli na to czasu.",,0,2.8,1.6,1.2,1.2,1.4,2.4,4.0,2.0,1.0,0.4499999999999999,0.15,0.0499999999999999,0.0499999999999999,0.0999999999999999,0.35,0.75,0.25,True
"Na rynku hurtowym w Broniszach coraz więcej polskich warzyw, są już krajowe szparagi, marchewka i szpinak z upraw w tunelach foliowych i są drogie",twitter,0,1.0,1.6,1.2,1.2,1.0,1.2,2.2,1.8,0.0,0.0,0.15,0.0499999999999999,0.0499999999999999,0.0,0.0499999999999999,0.3,0.2,True
"Ale pani - na oko 60 lat - oświadczyła w Wiadomościach, że Tusk jej kazał pracować do 67 roku życia odnośnik ",twitter,0,1.0,1.8,2.4,1.6,1.4,1.2,2.4,2.2,1.0,0.0,0.2,0.35,0.15,0.0999999999999999,0.0499999999999999,0.35,0.3,True
Pfizer i BioNTech: 'Nasza szczepionka na Covid-19 jest w 90% skuteczna' odnośnik ,twitter,0,2.8,1.2,1.0,1.0,1.0,4.2,4.0,2.6,0.0,0.4499999999999999,0.0499999999999999,0.0,0.0,0.0,0.8,0.75,0.4,True
Wierzę że kiedyś będziemy wspólnie świętować WASZE ZWYCIĘSTWO !!!!,youtube,0,4.0,1.0,1.0,1.0,1.0,4.0,4.8,4.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.95,0.75,True
"wojsko USA w Polsce) na to czekają by pacyfikować ""wrogów demokracji"".",youtube,0,1.0,1.2,3.4,2.0,3.0,1.0,1.4,3.0,0.0,0.0,0.0499999999999999,0.6,0.25,0.5,0.0,0.0999999999999999,0.5,True
Ale sami uznaliśmy Kosowo.,,0,1.2,1.4,1.0,1.2,1.0,1.6,3.0,2.0,0.0,0.0499999999999999,0.0999999999999999,0.0,0.0499999999999999,0.0,0.15,0.5,0.25,True
"Bo jak inaczej opisać sytuację, gdy ona spała zwinięta w kłębek na podłodze przy swoim (!)",,1,1.0,2.2,3.0,2.2,1.2,1.0,2.2,3.2,0.0,0.0,0.3,0.5,0.3,0.0499999999999999,0.0,0.3,0.55,True
Kiedyś będąc pod wpływem alkoholu pobił pod sklepem jednego z sąsiadów.,,1,1.0,1.2,2.0,2.4,1.8,1.0,2.4,2.2,0.0,0.0,0.0499999999999999,0.25,0.35,0.2,0.0,0.35,0.3,True
"Macierewicz, czy ty wiesz, że kilkunastoletnią już dziś córkę oficera BOR, który chronił Lecha Kaczyńskiego i zginął na służbie i która jest niepełnosprawna też oszukałeś?",twitter,1,1.0,2.4,4.6,3.2,1.2,1.0,1.4,3.4,0.0,0.0,0.35,0.8999999999999999,0.55,0.0499999999999999,0.0,0.0999999999999999,0.6,True
"Rosjanie nadali materiał propagandowy, a Ukraińcy wykorzystali go do zniszczenia rosyjskiego sprzętu [VIDEO] odnośnik ",twitter,1,1.2,1.0,1.2,1.6,1.4,1.2,2.6,1.4,2.0,0.0499999999999999,0.0,0.0499999999999999,0.15,0.0999999999999999,0.0499999999999999,0.4,0.0999999999999999,True
"Chcesz prezydenta, który myśli w kategorii pokolenia, a nie kadencji?",,1,1.0,1.6,2.4,2.0,1.4,1.2,2.4,2.4,4.0,0.0,0.15,0.35,0.25,0.0999999999999999,0.0499999999999999,0.35,0.35,True
użytkownicy A może po prostu wejść w link?,twitter,1,1.0,1.0,2.4,1.6,1.0,1.4,2.2,2.0,5.0,0.0,0.0,0.35,0.15,0.0,0.0999999999999999,0.3,0.25,True
Za wszystko trzeba być Jemu wdzięcznym.,,1,1.8,1.4,1.4,1.0,1.6,3.0,3.4,2.2,0.0,0.2,0.0999999999999999,0.0999999999999999,0.0,0.15,0.5,0.6,0.3,True
" Po raz kolejny dbamy o komfort naszych uczestników, tworząc Festiwal dostępny dla wszystkich.",,1,3.4,1.0,1.0,1.0,1.0,3.8,4.2,2.2,0.0,0.6,0.0,0.0,0.0,0.0,0.7,0.8,0.3,True
"""To był legendarny wieczór!",,1,4.4,1.0,1.0,1.0,1.0,2.0,4.6,3.8,0.0,0.8500000000000001,0.0,0.0,0.0,0.0,0.25,0.8999999999999999,0.7,True
To jest niesamowicie wygodna i pociągająca możliwość.,,1,2.8,1.2,1.4,1.4,1.2,1.2,3.8,2.4,1.0,0.4499999999999999,0.0499999999999999,0.0999999999999999,0.0999999999999999,0.0499999999999999,0.0499999999999999,0.7,0.35,True
Gówno zrobi prokuratura razem z tymi mordercami Izy ręka rękę myje !!!,youtube,1,1.0,3.0,5.0,4.0,2.2,1.0,1.0,4.4,0.0,0.0,0.5,1.0,0.75,0.3,0.0,0.0,0.8500000000000001,True
Fakty widać w ich pomocy militarnej dla Ukrainy.,youtube,1,1.2,1.0,1.4,1.6,1.2,1.4,2.8,1.6,1.0,0.0499999999999999,0.0,0.0999999999999999,0.15,0.0499999999999999,0.0999999999999999,0.4499999999999999,0.15,True
USA zaatakowały pozycje talibów w Helmandzie odnośnik via użytkownicy ,twitter,1,1.0,1.0,1.2,1.4,1.4,1.4,2.8,1.6,0.0,0.0,0.0,0.0499999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.4499999999999999,0.15,True
To jaki będzie los premiera Mateusza Morawieckiego?,,1,1.2,1.4,1.4,1.6,1.8,1.0,2.6,1.8,0.0,0.0499999999999999,0.0999999999999999,0.0999999999999999,0.15,0.2,0.0,0.4,0.2,True
‼ 50% kobiet w Sudanie Południowym doświadczyło przemocy fizycznej i/lub seksualnej ze strony partnera.,,1,1.0,2.8,3.2,2.8,3.2,1.0,1.6,3.0,0.0,0.0,0.4499999999999999,0.55,0.4499999999999999,0.55,0.0,0.15,0.5,True
użytkownicy zależy od zawartości alkoholu,twitter,1,1.0,1.0,1.2,1.0,1.0,1.0,3.0,1.4,0.0,0.0,0.0,0.0499999999999999,0.0,0.0,0.0,0.5,0.0999999999999999,True
"Polki potrzebują opieki i pełnego dostępu do lekarza, a nie kontroli prokuratora nad procesem do noszenia ciąży!",,1,1.0,2.6,4.6,2.8,2.6,1.0,1.4,4.0,0.0,0.0,0.4,0.8999999999999999,0.4499999999999999,0.4,0.0,0.0999999999999999,0.75,True
Dziś 6 urodziny okręgu Razem w Berlinie.,,1,1.4,1.0,1.4,1.6,1.0,1.4,3.2,2.0,1.0,0.0999999999999999,0.0,0.0999999999999999,0.15,0.0,0.0999999999999999,0.55,0.25,True
Wyjątkowa akcja włoskiej policji.,,1,2.2,1.0,1.0,1.0,1.0,2.8,3.8,2.0,0.0,0.3,0.0,0.0,0.0,0.0,0.4499999999999999,0.7,0.25,True
 Karol III ma 50-letni dorobek w pracy na rzecz środowiska.,,1,2.2,1.0,1.0,1.0,1.0,2.8,3.8,1.6,0.0,0.3,0.0,0.0,0.0,0.0,0.4499999999999999,0.7,0.15,True
Niewinni Rosjanie cywile będą teraz cierpieć za ich rządzącego psychola,youtube,1,1.0,3.0,4.6,3.4,1.6,1.0,1.0,3.6,0.0,0.0,0.5,0.8999999999999999,0.6,0.15,0.0,0.0,0.65,True
" Procedura wyboru kandydata na sędziego #ETPC bez zmian – Ministerstwo Spraw Zagranicznych odpowiada na wspólne postulaty Helsińskiej Fundacji Praw Człowieka, #NaczelnaRadaAdwokacka i #KrajowaIzbaRadcówPrawnych  Więcej: odnośnik ",twitter,1,1.2,1.0,1.0,1.0,1.0,1.4,3.0,1.0,0.0,0.0499999999999999,0.0,0.0,0.0,0.0,0.0999999999999999,0.5,0.0,True
"użytkownicy Pogarszają mi humor tacy goście jak ty - przyjdzie, napisze coś głupiego i ucieka jak tchórz.",twitter,1,1.0,2.0,3.8,3.4,1.0,1.0,1.4,3.2,0.0,0.0,0.25,0.7,0.6,0.0,0.0,0.0999999999999999,0.55,True
 To był naprawdę niesamowity wieczór!,,1,4.6,1.0,1.0,1.0,1.0,1.8,4.8,3.6,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.2,0.95,0.65,True
"#20wrzesnia #Protest_Tysiecy_Miast #united4climate #climatecrisis FRI, 20 SEP 2019 Protest Tysięcy Miast - Olsztyn | Młodzieżowy Strajk Klimatyczny",,1,1.2,1.6,2.2,1.6,1.8,2.0,2.8,2.2,0.0,0.0499999999999999,0.15,0.3,0.15,0.2,0.25,0.4499999999999999,0.3,True
"""Sama myśl, że ktoś mógł wpaść na taki pomysł jest odrażająca, a na to wpadli Niemcy i Francuzi"" odnośnik ",twitter,1,1.0,1.6,3.8,4.2,1.6,1.0,1.6,3.2,0.0,0.0,0.15,0.7,0.8,0.15,0.0,0.15,0.55,True
środki ochrony roślin: z powodu koronawirusa w Chinach koszty produkcji wzrosły o 15 proc.,twitter,1,1.0,1.8,1.6,1.0,1.8,1.0,2.6,1.4,0.0,0.0,0.2,0.15,0.0,0.2,0.0,0.4,0.0999999999999999,True
użytkownicy Wbrew pozorom akurat o kryzysie klimatycznym TVP mówi sporo.,twitter,1,1.0,1.0,1.4,1.4,1.0,2.0,3.0,2.2,1.0,0.0,0.0,0.0999999999999999,0.0999999999999999,0.0,0.25,0.5,0.3,True
Wszyscy jesteśmy teraz myślami z Prezydentem #Adamowicz.em i jego bliskimi.,,1,1.0,3.4,1.0,1.0,1.0,1.2,1.8,2.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0499999999999999,0.2,0.3,True
"Wielkopolski Pleszew powita jesień dniem pełnym sprawiedliwości: na porannym pokazie filmu ""Sędziowie pod presją"" pojawi się blisko 270 uczniów!",,1,2.4,1.0,1.0,1.0,1.0,2.6,3.8,2.6,0.0,0.35,0.0,0.0,0.0,0.0,0.4,0.7,0.4,True
"Nie trzeba być prawnikiem żeby ocenić, że prawo nakazujące coś takiego jest sprzeczne z podstawowymi wartościami i wywołuje zbrodnicze skutki.",,1,1.0,2.0,3.6,2.6,2.0,1.0,1.6,3.0,0.0,0.0,0.25,0.65,0.4,0.25,0.0,0.15,0.5,True
Czy to jest dobry i osiagalny pomysl na zakonczenie tej wojny?,youtube,1,1.0,1.8,1.6,1.0,3.0,1.0,2.0,2.4,0.0,0.0,0.2,0.15,0.0,0.5,0.0,0.25,0.35,True
"POwski mynyster fynansów Rostowski po zwycięstwie wyborczym Prawa i Sprawiedliwości w 2015 r.: ""Piniendzy nie ma i nie będzie"".",youtube,1,1.0,1.2,3.4,3.0,1.2,1.0,1.8,2.8,4.0,0.0,0.0499999999999999,0.6,0.5,0.0499999999999999,0.0,0.2,0.4499999999999999,True
"Jest powodem, dla którego interesuje mnie dobro nawet tego, z kim się nie zgadzam lub kto ma gorzej ode mnie z własnej czy cudzej winy.",,1,1.4,1.8,1.4,1.0,1.2,3.2,3.2,2.2,0.0,0.0999999999999999,0.2,0.0999999999999999,0.0,0.0499999999999999,0.55,0.55,0.3,True
Przecież każdy powinien mieć do tego prawo.,,1,1.0,2.2,2.4,1.0,1.8,1.0,2.0,2.4,0.0,0.0,0.3,0.35,0.0,0.2,0.0,0.25,0.35,True
"Przed godziną 23 babcia dzieci otrzymała wiadomość SMS od wnuczka, że mama chce je pozabijać.",,1,1.0,2.2,1.6,1.8,2.4,1.0,2.0,2.8,0.0,0.0,0.3,0.15,0.2,0.35,0.0,0.25,0.4499999999999999,True
"""Na wieść o twojej śmierci internet zawrzał - setki osób zaczęły deklarować gotowość pomocy osobom trans będącym w trudnej sytuacji psychologicznej.",,1,1.2,3.2,1.4,1.2,1.6,2.0,2.6,2.6,0.0,0.0499999999999999,0.55,0.0999999999999999,0.0499999999999999,0.15,0.25,0.4,0.4,True
"Kampania „Stop kobietobójstwu”, którą stworzyliśmy razem z Centrum Praw Kobiet została nominowana do plebiscytu na kampanię społeczną roku 2020!",,1,3.6,1.0,1.0,1.0,1.0,4.4,4.6,3.8,0.0,0.65,0.0,0.0,0.0,0.0,0.8500000000000001,0.8999999999999999,0.7,True
użytkownicy I dalej się spodziewają- logiczne.,twitter,1,1.0,1.2,2.2,1.8,1.0,1.0,2.2,2.4,3.0,0.0,0.0499999999999999,0.3,0.2,0.0,0.0,0.3,0.35,True
"O Hiszpanii w kontekścieSądu Najwyższego, #TSUE i Katalonii oraz Polski niebawem na antenie użytkownicy odnośnik ",twitter,1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0999999999999999,True
Czasem warto mobilizować władze do działań.,,1,1.6,1.0,1.0,1.0,1.0,2.6,3.2,1.8,0.0,0.15,0.0,0.0,0.0,0.0,0.4,0.55,0.2,True
"Zgłoszony oczywiście prawdopodobnie przez jakieś lewicowe organizacje lub przez jakieś wpływowe mniejszości, które bolała jego krytyka.",,1,1.0,1.2,3.2,3.2,1.0,1.4,1.8,3.2,1.0,0.0,0.0499999999999999,0.55,0.55,0.0,0.0999999999999999,0.2,0.55,True
Jedziemy do Was pełni nadziei na fantastyczne spotkania.,,1,3.6,1.0,1.0,1.0,1.0,1.6,4.0,2.6,0.0,0.65,0.0,0.0,0.0,0.0,0.15,0.75,0.4,True
"użytkownicy Oj było kupowane, oj było...",twitter,1,1.2,1.2,1.6,1.6,1.0,1.0,2.4,2.2,3.0,0.0499999999999999,0.0499999999999999,0.15,0.15,0.0,0.0,0.35,0.3,True
Edyta Żemła i Marcin Wyrwał: 87 tys. zł za cztery dni pracy kasują ludzie Mariusza Błaszczaka w spółce Exatel. odnośnik ,twitter,1,1.0,1.4,2.2,2.0,1.0,1.0,2.2,2.2,1.0,0.0,0.0999999999999999,0.3,0.25,0.0,0.0,0.3,0.3,True
Zapraszam o godz. 17.00 do Hotelu Izabella przy ul. Lubelskiej 1.,,1,1.0,1.0,1.0,1.0,1.0,1.2,3.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0499999999999999,0.5,0.0999999999999999,True
WSA w uzasadnieniu zmiażdżył oba dokumenty.,,1,1.4,1.0,1.0,1.0,1.0,2.4,3.6,1.8,0.0,0.0999999999999999,0.0,0.0,0.0,0.0,0.35,0.65,0.2,True
"W takich chwilach powinniśmy pamiętać o tym, że wszyscy jesteśmy częścią wspólnoty, a naszym obowiązkiem jest przeciwstawić się aktom przemocy - i stać w jednym rzędzie z ofiarami i bliskimi ofiar.",,1,1.0,3.0,1.8,1.4,2.0,3.0,2.6,2.8,0.0,0.0,0.5,0.2,0.0999999999999999,0.25,0.5,0.4,0.4499999999999999,True
Ile jest warta pomoc dziecku?,,1,1.0,3.0,2.2,1.8,1.6,1.0,2.2,2.6,2.0,0.0,0.5,0.3,0.2,0.15,0.0,0.3,0.4,True
