text,source,part,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Irony_M,norm_Happiness_M,norm_Sadness_M,norm_Anger_M,norm_Disgust_M,norm_Fear_M,norm_Pride_M,norm_Valence_M,norm_Arousal_M,is_single_sentence
"Maseczki, fartuchy, kombinezony, przyłbice, rękawice, płyny do dezynfekcji już są w naszych magazynach i lada chwila trafią do warszawskich szpitali, które tak bardzo ich potrzebują.",,49,3.2,1.0,1.0,1.0,1.2,3.8,4.2,2.4,0.0,0.55,0.0,0.0,0.0,0.0499999999999999,0.7,0.8,0.35,True
"użytkownicy Ja nie wiem, co ja uważam...",twitter,76,1.0,1.8,1.4,1.2,1.2,1.0,2.4,1.6,0.0,0.0,0.2,0.0999999999999999,0.0499999999999999,0.0499999999999999,0.0,0.35,0.15,True
"Mówi też o sytuacji w polskiej prokuraturze: ""W Trybunale Sprawiedliwości UE w Luksemburgu jest sprawa dotycząca Izby Dyscyplinarnej ze skargi Komisji.",,44,1.0,1.0,1.2,1.0,1.0,1.0,2.8,1.2,0.0,0.0,0.0,0.0499999999999999,0.0,0.0,0.0,0.4499999999999999,0.0499999999999999,True
"Dość terroru sanitarnego, dość straszenia ludzi!",,34,1.4,1.4,4.8,2.2,2.2,2.2,1.4,4.0,0.0,0.0999999999999999,0.0999999999999999,0.95,0.3,0.3,0.3,0.0999999999999999,0.75,True
użytkownicy Szkoci górą...,twitter,51,2.4,2.0,1.4,1.6,1.0,2.8,3.4,2.4,1.0,0.35,0.25,0.0999999999999999,0.15,0.0,0.4499999999999999,0.6,0.35,True
Premia roczna w Biedronce: 55 tys. pracowników dostanie 2800 zł nagrody przed Wielkanocą,twitter,78,3.4,1.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,0.6,0.0,0.0,0.0,0.0,0.25,0.75,0.25,True
"My nie podnosimy wynagrodzeń związkom, tylko nauczycielom - powiedział minister edukacji i nauki Przemysław Czarnek pytany wspólne stanowisko ZNP, FZZ i Oświatowej ""S"", które odrzucają propozycje MEiN.",twitter,79,1.0,1.0,1.4,1.2,1.0,1.4,2.8,1.6,0.0,0.0,0.0,0.0999999999999999,0.0499999999999999,0.0,0.0999999999999999,0.4499999999999999,0.15,True
"Nie o to chodzi, by się bać.",,62,1.0,1.6,1.0,1.2,1.2,1.8,3.2,2.2,0.0,0.0,0.15,0.0,0.0499999999999999,0.0499999999999999,0.2,0.55,0.3,True
"W tym roku Amnesty International w Polsce obchodzi swoje 30-te urodziny, a jak wiadomo Amnesty jest kobietą .",,55,4.2,1.0,1.0,1.0,1.0,4.8,4.6,3.4,0.0,0.8,0.0,0.0,0.0,0.0,0.95,0.8999999999999999,0.6,True
"użytkownicy Nie, proszę Pana, nie oglądam propagandowych agitek.",twitter,82,1.6,1.2,3.2,3.8,1.6,1.6,2.2,2.6,1.0,0.15,0.0499999999999999,0.55,0.7,0.15,0.15,0.3,0.4,True
"użytkownicy Dziękuję wszystkim za oddane głosy, gratuluję użytkownicy i pozdrawiam!",twitter,70,4.8,1.0,1.0,1.0,1.0,4.4,4.8,3.0,0.0,0.95,0.0,0.0,0.0,0.0,0.8500000000000001,0.95,0.5,True
"Nie musisz też uczestniczyć w Wysłuchaniu przez cały czas jego trwania, wystarczy że zjawisz się odpowiednio wcześniej przed swoim wystąpieniem.",,74,1.6,1.0,1.0,1.0,1.0,1.4,3.6,1.8,0.0,0.15,0.0,0.0,0.0,0.0,0.0999999999999999,0.65,0.2,True
Zapraszam o 20 do polsatnews.pl Moimi gośćmi będą Ryszard Petru TERAZ!,,27,3.2,1.0,1.0,1.0,1.0,3.0,4.2,2.8,0.0,0.55,0.0,0.0,0.0,0.0,0.5,0.8,0.4499999999999999,True
"użytkownicy Jeżeli każda droga wokół mojego domu będzie prywatna, a ja nie będę chciała być więźniem we własnym domu (bo nikt by nie chciał - wszak rozprawiamy o WOLNOŚCI ), to konieczność poniesienia opłaty za to wyjście z domu będzie przymusowa.",twitter,3,1.0,2.6,3.0,2.2,2.6,1.6,2.0,2.4,4.0,0.0,0.4,0.5,0.3,0.4,0.15,0.25,0.35,True
"Drogi Tomku, szanuję radykalne gesty, sensowne prowokacje oraz przekroczenia, które nie krzywdzą nikogo.",,59,2.6,1.0,1.8,1.0,1.0,1.8,3.2,2.0,0.0,0.4,0.0,0.2,0.0,0.0,0.2,0.55,0.25,True
Kto dostanie od Was takie kartki?,,69,1.4,1.0,1.0,1.0,1.0,1.0,3.0,1.4,0.0,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.5,0.0999999999999999,True
"W akcie niezgody na homofobiczną instalację w kościele w Płocku, rozkleiły naklejki z wizerunkiem tęczowej Matki Boskiej, za co stanęły przed sądem.",,84,1.0,2.8,3.4,1.8,2.0,1.4,2.2,2.8,0.0,0.0,0.4499999999999999,0.6,0.2,0.25,0.0999999999999999,0.3,0.4499999999999999,True
"Jakoś mnie nie oburza wypowiedź Jerzego Stuhra na temat rzekomych intencji wyborców PiS, to mimo że mam chłopskie pochodzenie (z którego zresztą dumny jestem).",,37,1.2,1.2,1.6,1.4,1.0,3.6,3.6,2.6,0.0,0.0499999999999999,0.0499999999999999,0.15,0.0999999999999999,0.0,0.65,0.65,0.4,True
"Wystarczy wypełnić formularz, do którego link znajdziecie w komentarzu!",,79,2.2,1.0,1.0,1.0,1.0,1.8,3.8,2.0,0.0,0.3,0.0,0.0,0.0,0.0,0.2,0.7,0.25,True
"Ponad 1600 naukowców z całego świata, 160 organizacji i mieszkańcy regionu Puszczy Białowieskiej wspólnie apelują do Komisji Europejskiej o ratowanie puszczańskiej przyrody.",,39,2.0,1.8,1.0,1.0,2.4,1.6,2.2,2.6,0.0,0.25,0.2,0.0,0.0,0.35,0.15,0.3,0.4,True
Uprzedzenia etniczne i religijne rodzą przemoc i cierpienie.,,56,1.0,2.4,1.4,1.2,1.4,1.2,2.0,2.0,0.0,0.0,0.35,0.0999999999999999,0.0499999999999999,0.0999999999999999,0.0499999999999999,0.25,0.25,True
Czechy przedłużają stan wyjątkowy do 20 listopada.,twitter,85,1.0,2.0,1.0,1.0,2.4,1.2,2.4,1.8,0.0,0.0,0.25,0.0,0.0,0.35,0.0499999999999999,0.35,0.2,True
Może gdyby energia była atomowa to ceny za prąd były by niższe.?,youtube,67,1.0,2.0,2.4,1.2,1.8,1.4,2.2,2.4,1.0,0.0,0.25,0.35,0.0499999999999999,0.2,0.0999999999999999,0.3,0.35,True
"użytkownicy Słyszałem, że Baranowicze piękne",twitter,0,1.8,1.2,1.0,1.0,1.0,1.6,3.4,1.8,0.0,0.2,0.0499999999999999,0.0,0.0,0.0,0.15,0.6,0.2,True
"Na Onet.pl piszę o tym, co mają wspólnego zmiany w kodeksie drogowym z wynikami ostatniej głośnej kontroli _odnośnik_ Oto sposób działania tej władzy - bez namysłu, bez analizy, byle jak, byle się byle czym pochwalić",,26,1.0,2.0,3.6,3.6,1.0,1.4,1.8,3.4,1.0,0.0,0.25,0.65,0.65,0.0,0.0999999999999999,0.2,0.6,True
"Uważamy, że policja dysponowała dostateczną wiedzą i mogła się zawczasu przygotować na działania kontrdemonstrantów.",,71,1.0,1.4,2.8,1.4,1.2,1.4,1.8,2.6,0.0,0.0,0.0999999999999999,0.4499999999999999,0.0999999999999999,0.0499999999999999,0.0999999999999999,0.2,0.4,True
"Będziecie mieli Państwo okazję do wspólnej zabawy, porozmawiania czy zrobienia sobie zdjęcia.",,93,2.4,1.2,1.2,1.0,1.0,2.2,3.4,1.8,0.0,0.35,0.0499999999999999,0.0499999999999999,0.0,0.0,0.3,0.6,0.2,True
"W czasie pandemii COVID-19 nastąpił wzrost spożycia paczkowanych owoców i warzyw, większe zainteresowanie konsumentów lokalnymi produktami i ogólny wzrost konsumpcji zdrowej żywności, w tym warzyw i owoców.",twitter,60,2.2,1.0,1.0,1.0,1.0,1.4,3.4,1.8,0.0,0.3,0.0,0.0,0.0,0.0,0.0999999999999999,0.6,0.2,True
"""Lista Przebojów Radia Erewań"" W okresie słusznie minionym, czyli w czasach PRL, znane były dowcipy o Radiu Erewań, które w rzeczywistości nie istniało.",,7,3.0,1.4,1.4,1.2,1.0,1.4,3.4,1.8,4.0,0.5,0.0999999999999999,0.0999999999999999,0.0499999999999999,0.0,0.0999999999999999,0.6,0.2,True
"Banałem jest stwierdzenie, że kobiety „pracują podwójnie”: w pracy i w domu.",,72,1.0,1.6,3.6,2.0,1.0,1.2,1.6,3.0,0.0,0.0,0.15,0.65,0.25,0.0,0.0499999999999999,0.15,0.5,True
"Przy milczeniu Waszyngtonu oraz bezradności Brukseli demokracji na świecie jest dziś o wiele mniej, niż kilka lat temu.",,75,1.0,3.2,1.6,1.4,2.2,1.0,1.6,3.0,1.0,0.0,0.55,0.15,0.0999999999999999,0.3,0.0,0.15,0.5,True
"Według rzecznika, łącznie około 16-17 tysięcy migrantów jest na granicach, z czego mniej więcej połowa, to Kurdowie - źr. Rudaw.",twitter,35,1.0,1.2,1.0,1.0,1.0,1.0,3.0,1.4,0.0,0.0,0.0499999999999999,0.0,0.0,0.0,0.0,0.5,0.0999999999999999,True
"Jak wszystkich bielanowców wyrzucą gowinowcy, a gowinowców bielanowcy, to Porozumienie zostanie puste i będzie najpopularniejszą partią Zjednoczonej Prawicy, bo nie będzie w niej ani jednego polityka, którego Polacy by mogli nienawidzieć.",twitter,53,1.0,2.0,3.2,3.4,1.4,2.0,1.8,3.0,5.0,0.0,0.25,0.55,0.6,0.0999999999999999,0.25,0.2,0.5,True
O obronie Jasnej Góry i powinności katolików - zapraszamy do oglądania!,,65,3.2,1.0,1.0,1.0,1.0,3.8,4.0,2.4,0.0,0.55,0.0,0.0,0.0,0.0,0.7,0.75,0.35,True
"Wiem, że moja decyzja o kandydowaniu w wyborach prezydenckich wywołała wiele pytań – postaram się dziś na nie odpowiedzieć.",,16,1.6,1.0,1.2,1.0,1.6,2.8,3.4,2.0,0.0,0.15,0.0,0.0499999999999999,0.0,0.15,0.4499999999999999,0.6,0.25,True
użytkownicy Dziękujemy serdecznie za wsparcie!,twitter,30,4.4,1.0,1.0,1.0,1.0,3.0,4.2,3.2,0.0,0.8500000000000001,0.0,0.0,0.0,0.0,0.5,0.8,0.55,True
"Ci z Państwa, którzy czytają regularnie moje wpisy, zapewne zauważyli, że proponowane przeze mnie rozwiązania - czy to dotyczące bezpieczeństwa zdrowotnego, militarnego bądź ekonomicznego - opierają się na dwóch filarach.",,82,1.4,1.2,1.2,1.0,1.0,2.4,3.4,1.8,1.0,0.0999999999999999,0.0499999999999999,0.0499999999999999,0.0,0.0,0.35,0.6,0.2,True
Aktywiści i aktywistki działający na rzecz migrantów i migrantek stawiali czoło represjom i prześladowaniom.,,34,2.2,1.6,1.2,1.2,1.8,4.4,3.8,2.6,0.0,0.3,0.15,0.0499999999999999,0.0499999999999999,0.2,0.8500000000000001,0.7,0.4,True
"Pierwszym krajem, który wprowadził pełny, komercyjny dostęp do sieci 5G była Korea Południowa, na początku 2019 r.",twitter,78,1.6,1.0,1.0,1.0,1.2,2.0,3.6,1.6,0.0,0.15,0.0,0.0,0.0,0.0499999999999999,0.25,0.65,0.15,True
"W tym roku za sprawą morderczego wirusa temat zrobił się głośny, ale nie da się go oczywiście w rok, czy nawet w 5 lat rozwiązać.",,86,1.0,2.4,1.4,1.2,1.8,1.0,2.2,2.8,1.0,0.0,0.35,0.0999999999999999,0.0499999999999999,0.2,0.0,0.3,0.4499999999999999,True
"Oprócz stałego monitoringu sytuacji epidemiologicznej i regularnych konsultacji z lekarzami i specjalistami od sytuacji kryzysowych, rozwijaliśmy program szczepień, planowaliśmy jak zapewnić odpowiednią liczbę łóżek w szpitalach.",,95,1.2,1.0,1.0,1.0,1.0,2.4,3.4,1.8,0.0,0.0499999999999999,0.0,0.0,0.0,0.0,0.35,0.6,0.2,True
"Również wierzę, że odrobimy lekcję z Poznańskiego Czerwca, który już na zawsze zapisał się w polskiej historii!",,86,3.0,2.2,1.6,1.0,1.4,3.4,3.8,3.8,0.0,0.5,0.3,0.15,0.0,0.0999999999999999,0.6,0.7,0.7,True
Wspaniali ludzie odnośnik ,twitter,83,3.6,1.0,1.0,1.0,1.0,2.2,4.2,2.0,0.0,0.65,0.0,0.0,0.0,0.0,0.3,0.8,0.25,True
"Mówiliśmy o tym, dlaczego bez dostępu do bezpiecznej aborcji niemożliwe jest korzystanie z takich praw jak prawo do prywatności, bezpieczeństwa, wolności od dyskryminacji, wolności od poniżającego i nieludzkiego traktowania.",,50,1.0,2.8,3.0,1.6,2.8,1.6,2.0,2.8,0.0,0.0,0.4499999999999999,0.5,0.15,0.4499999999999999,0.15,0.25,0.4499999999999999,True
"Premier o wiarygodności Rafała Trzaskowskiego: ""Kłamał bezczelnie, patrząc w oko kamery"" odnośnik ",twitter,48,1.0,1.0,3.6,2.2,1.0,1.0,1.6,3.0,1.0,0.0,0.0,0.65,0.3,0.0,0.0,0.15,0.5,True
"Największy szok wywołało to, że Warner Bros.",,62,1.0,1.4,1.6,1.2,1.2,1.0,2.8,2.2,0.0,0.0,0.0999999999999999,0.15,0.0499999999999999,0.0499999999999999,0.0,0.4499999999999999,0.3,True
Takiej atmosfery nie ma nigdzie.,,66,1.6,1.2,1.0,1.0,1.0,1.8,3.6,1.0,0.0,0.15,0.0499999999999999,0.0,0.0,0.0,0.2,0.65,0.0,True
Wyrok Trybunału Sprawiedliwości UE wyznaczy standardy uczciwego naboru na wolne miejsca w sądach w Polsce i nie tylko.,,11,1.8,1.4,1.0,1.4,1.2,1.6,3.2,1.4,0.0,0.2,0.0999999999999999,0.0,0.0999999999999999,0.0499999999999999,0.15,0.55,0.0999999999999999,True
Trybunał przyznał sędziom po 15 tysięcy euro zadośćuczynienia.,,23,1.4,1.0,1.2,1.0,1.0,1.2,3.2,1.0,0.0,0.0999999999999999,0.0,0.0499999999999999,0.0,0.0,0.0499999999999999,0.55,0.0,True
"Trudny wybór, dlatego postanowiliśmy połączyć to, co i tak ewidentnie do siebie pasuje.",,24,2.25,1.5,1.0,1.0,1.5,2.0,3.5,1.5,0.0,0.3125,0.125,0.0,0.0,0.125,0.25,0.625,0.125,True
"Wzywam rząd i partnerów w NATO do niezwłocznej decyzji o rozmieszczeniu na terenie Polski systemów typu PATRIOT, które ochronią nasza infrastrukturę krytyczną.",,86,1.2,1.4,2.0,1.0,3.2,1.2,2.0,2.2,0.0,0.0499999999999999,0.0999999999999999,0.25,0.0,0.55,0.0499999999999999,0.25,0.3,True
Zobaczcie co powiedziałem o praworządności i Unii Europejskiej #Bosak2020,,95,1.8,1.0,1.2,1.4,1.0,2.6,3.6,2.0,0.0,0.2,0.0,0.0499999999999999,0.0999999999999999,0.0,0.4,0.65,0.25,True
"Umierają, choć nic się nie stało - nie wybuchła żadna wojna, ani hybrydowa, ani tym bardziej realna, nie było trzęsienia ziemi, pożaru, ani powodzi, nie spadły na nich nieuleczalne choroby.",,48,1.0,4.2,2.0,1.0,2.8,1.0,1.0,4.0,0.0,0.0,0.8,0.25,0.0,0.4499999999999999,0.0,0.0,0.75,True
Sieć dyskontów niespożywczych Action odnotowała w I kw. 42% wzrost sprzedaży rdr.,twitter,49,1.2,1.0,1.0,1.0,1.0,1.4,3.2,1.0,0.0,0.0499999999999999,0.0,0.0,0.0,0.0,0.0999999999999999,0.55,0.0,True
Podczas 27 Orkiestry celem zbiórki było pozyskanie środków na zakup sprzętu dla specjalistycznych szpitali dziecięcych.,,14,2.2,1.0,1.2,1.0,1.0,2.6,3.8,1.4,0.0,0.3,0.0,0.0499999999999999,0.0,0.0,0.4,0.7,0.0999999999999999,True
"Dostała go „za wyobraźnię narracyjną, która z encyklopedyczną pasją reprezentuje przekraczanie granic jako formę życia”.",,65,2.8,1.0,1.0,1.0,1.0,2.8,4.0,2.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.0,0.4499999999999999,0.75,0.25,True
Czyżby już 15 października chcieli się nim zająć?,,92,1.0,1.2,1.2,1.4,2.0,1.4,2.6,1.8,2.0,0.0,0.0499999999999999,0.0499999999999999,0.0999999999999999,0.25,0.0999999999999999,0.4,0.2,True
O migracjach i zmianach klimatu w wysokieobcasy mówi Magdalena Kuśka z PAH.,,77,1.0,1.0,1.0,1.0,1.0,1.2,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0499999999999999,0.5,0.0,True
Niech on najlepiej zamknie się już,youtube,28,1.0,1.0,4.2,2.8,1.0,1.0,1.6,3.4,0.0,0.0,0.0,0.8,0.4499999999999999,0.0,0.0,0.15,0.6,True
Damy Wam znać!,,83,3.4,1.0,1.0,1.0,1.0,1.8,3.8,2.2,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.7,0.3,True
"Jak powiedziała Greta, ""Nigdy nie jesteś za mały, żeby coś zmienić"" i nie wyobrażemy sobie lepszej ilustracji dla jej słów.",,55,3.6,1.4,1.0,1.0,1.0,4.0,4.4,2.6,0.0,0.65,0.0999999999999999,0.0,0.0,0.0,0.75,0.8500000000000001,0.4,True
PS Jesteśmy ze szczęśliwego rocznika.,,42,3.8,1.2,1.0,1.2,1.2,3.0,4.0,1.4,1.0,0.7,0.0499999999999999,0.0,0.0499999999999999,0.0499999999999999,0.5,0.75,0.0999999999999999,True
"Andrzej Duda stał się gwarantem tego, że nie będzie już więcej nowych podatków a Rafał Trzaskowski wybiera się na Marsz Niepodlegości.",,17,1.2,1.2,2.0,1.2,1.0,1.2,2.6,1.8,0.0,0.0499999999999999,0.0499999999999999,0.25,0.0499999999999999,0.0,0.0499999999999999,0.4,0.2,True
użytkownicy Dziękuję i serdecznie pozdrawiam!,twitter,32,3.8,1.0,1.0,1.0,1.0,1.6,4.6,2.8,0.0,0.7,0.0,0.0,0.0,0.0,0.15,0.8999999999999999,0.4499999999999999,True
"Dziękuję miejscowej firmie OKOŃ (z tego, co widziałem - paliwa i budowlanka), bo jak cepem przez łeb, jaśniej niż tysięczne analizy jajogłowych, wyjaśniła mi wreszcie istotę sukcesów naszej chorej partyjnej polityki, która co daje ludziom?",,80,1.4,1.8,3.0,2.4,1.0,1.2,1.8,3.4,1.0,0.0999999999999999,0.2,0.5,0.35,0.0,0.0499999999999999,0.2,0.6,True
Wypełnij PIT podając KRS 0000 11 06 95  _odnośnik_,,58,1.6,1.0,1.0,1.0,1.0,1.6,3.2,1.4,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.55,0.0999999999999999,True
"W szpitalach kończą się miejsca, nie ma procedur, nie ma zapasów, nic nie ma, wszystko jest po staremu.",,50,1.0,3.4,3.6,1.4,3.2,1.0,1.4,3.6,1.0,0.0,0.6,0.65,0.0999999999999999,0.55,0.0,0.0999999999999999,0.65,True
użytkownicy Pozdrowienia dla żony :) odnośnik ,twitter,29,3.0,1.0,1.0,1.0,1.0,1.4,4.0,1.8,0.0,0.5,0.0,0.0,0.0,0.0,0.0999999999999999,0.75,0.2,True
"To nie jest nowy problem - w zeszłym roku Helsińska Fundacja Praw Człowieka zwracała uwagę, że Polska nie wdrożyła w pełni dwóch unijnych dyrektyw: o dostępie do adwokata oraz w sprawie pomocy prawnej z urzędu dla podejrzanych i oskarżonych w postępowaniu karnym.",,85,1.0,2.6,3.0,1.8,2.0,1.2,2.0,2.2,0.0,0.0,0.4,0.5,0.2,0.25,0.0499999999999999,0.25,0.3,True
"Dopiero gdy pytamy wprost o trudną sytuację i pilne potrzeby, jego wyraźne i błyszczące dotąd spojrzenie staje się zagubione, a głos cichnie, jakby nie chciał nikomu robić sobą problemu.",,14,1.0,4.0,2.2,1.6,2.4,1.2,1.4,2.8,0.0,0.0,0.75,0.3,0.15,0.35,0.0499999999999999,0.0999999999999999,0.4499999999999999,True
Badanie: Co 10 konsument decyduje się na posiłek w strefie food court codziennie lub 2-3 razy w tygodniu,twitter,56,1.2,1.0,1.0,1.0,1.0,1.2,3.0,1.4,0.0,0.0499999999999999,0.0,0.0,0.0,0.0,0.0499999999999999,0.5,0.0999999999999999,True
"kurczak: Cena skupu spadła do 2,50 zł/kg, a więc do poziomu sprzed ponad 30 lat, podczas gdy stawka pokrywająca koszty produkcji to minimum 3,20 zł",twitter,51,1.2,1.8,1.2,1.0,1.8,1.4,2.4,1.6,0.0,0.0499999999999999,0.2,0.0499999999999999,0.0,0.2,0.0999999999999999,0.35,0.15,True
"Najpewniej on sam umrze, ale zważywszy to że mamy technologie klonowania człowieka bądź retransferem świadomości może się z tym kłócić.",youtube,37,1.0,1.8,2.2,2.2,2.4,1.0,2.0,2.4,0.0,0.0,0.2,0.3,0.3,0.35,0.0,0.25,0.35,True
"Sądzi, że mechanizmy rynkowe i inne mechanizmy selekcyjne, jakie wykształciły się w czasie dziesiątki tysięcy lat trwającej ewolucji społeczeństw zajmujących się produkcją i handlem, mogą być przez poddanie ich kontroli jednostkowego czy zbiorowego rozumu jedynie zepsute.",,22,1.0,1.4,1.6,1.6,1.2,1.2,2.0,1.6,1.0,0.0,0.0999999999999999,0.15,0.15,0.0499999999999999,0.0499999999999999,0.25,0.15,True
" Nasi prawnicy zwrócili uwagę, że funkcjonariusze Straży Granicznej zachęcają cudzoziemców do wskazywania we wnioskach jedynie głównych powodów ubiegania się o udzielenie ochrony, a nie pełnej treści wyjaśnień, do czego mają pełne prawo.",,80,1.6,1.6,1.8,1.4,1.4,2.2,2.8,2.2,0.0,0.15,0.15,0.2,0.0999999999999999,0.0999999999999999,0.3,0.4499999999999999,0.3,True
LPP wdrożył sztuczną inteligencję do obsługi klientów e-sklepu,twitter,89,2.0,1.0,1.0,1.0,1.2,2.0,3.6,1.4,0.0,0.25,0.0,0.0,0.0,0.0499999999999999,0.25,0.65,0.0999999999999999,True
Kafejki internetowe i domy gier w Azji powoli przekształcają się w farmy wydobywające kryptowaluty,twitter,23,1.0,1.2,1.2,1.2,2.0,1.0,2.8,1.2,0.0,0.0,0.0499999999999999,0.0499999999999999,0.0499999999999999,0.25,0.0,0.4499999999999999,0.0499999999999999,True
użytkownicy Ja tam problemu nie widzę ,twitter,38,2.2,1.2,1.2,1.2,1.2,1.4,3.6,1.8,4.0,0.3,0.0499999999999999,0.0499999999999999,0.0499999999999999,0.0499999999999999,0.0999999999999999,0.65,0.2,True
Dodatkowy dług publiczny przeznaczony na inwestycje infrastrukturalne - jak dodano - powinien wynieść 3.750 mld RMB (ok. 3 proc. nominalnego PKB w 2022 roku).,twitter,3,1.0,1.4,1.4,1.0,1.4,1.0,2.8,1.2,0.0,0.0,0.0999999999999999,0.0999999999999999,0.0,0.0999999999999999,0.0,0.4499999999999999,0.0499999999999999,True
użytkownicy Bardzo dziękujemy i pozdrawiamy :),twitter,29,4.6,1.0,1.0,1.0,1.0,2.0,4.8,2.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.25,0.95,0.25,True
"zostanie skutecznie zakwestionowana, więc napisali, że: „Sędzią jest osoba powołana na to stanowisko przez Prezydenta RP i przed nim zaprzysiężona”.",,11,1.2,1.8,2.8,2.2,1.6,1.0,2.2,2.0,0.0,0.0499999999999999,0.2,0.4499999999999999,0.3,0.15,0.0,0.3,0.25,True
Zapraszam Państwa serdecznie do Telewizja Republika!,,41,4.6,1.0,1.0,1.0,1.0,3.4,3.8,2.8,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.6,0.7,0.4499999999999999,True
"""Nie damy się złamać.",,28,1.0,1.8,2.4,1.2,1.6,3.4,2.8,3.8,0.0,0.0,0.2,0.35,0.0499999999999999,0.15,0.6,0.4499999999999999,0.7,True
Starcia na Wzgórzu Świątynnym nadal trwają.,twitter,75,1.0,1.6,1.6,1.4,1.8,1.2,2.4,2.0,1.0,0.0,0.15,0.15,0.0999999999999999,0.2,0.0499999999999999,0.35,0.25,True
Zmiana nie następuje z dnia na dzień.,,99,1.0,1.4,1.0,1.0,1.2,1.2,2.6,1.2,0.0,0.0,0.0999999999999999,0.0,0.0,0.0499999999999999,0.0499999999999999,0.4,0.0499999999999999,True
Więcej informacji: _odnośnik_ Jan Szwanda,,35,1.0,1.0,1.0,1.0,1.0,1.2,3.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0499999999999999,0.5,0.0999999999999999,True
"I ja go nie znałem; lecz dlatego przyszedłem, chrząc wodą, aby był objawiony Izraelowi.",youtube,2,3.0,1.2,1.0,1.0,1.2,2.8,3.6,3.0,0.0,0.5,0.0499999999999999,0.0,0.0,0.0499999999999999,0.4499999999999999,0.65,0.5,True
